Key,EN,RU,FR,DE,ES,IT
dialogs/0room/dresser_3,"There’s definitely no coffee shops nearby, and as far as friends, I hope you like raccoons and possums.","Рядом точно нет кафе, а что касается друзей, надеюсь, вы любите енотов и опоссумов.","Il n’y a certainement pas de cafés à proximité, et en ce qui concerne les amis, j’espère que vous aimez les ratons laveurs et les opossums.","Es gibt definitiv keine Cafés in der Nähe, und was Freunde angeht, hoffe ich, dass du Waschbären und Opossums magst.","No hay cafeterías cerca, ni una. Y espero que te gusten los mapaches y las zarigüeyas como amigos.","Di sicuro non ci sono bar nelle vicinanze, e per quanto riguarda gli amici, spero che ti piacciano i procioni e gli opossum."
dialogs/0room/pedestal_1,I bet your parents would be so proud seeing you taking care of the house like this.,"Бьюсь об заклад, ваши родители будут так гордиться, увидев, как вы заботитесь о доме.",Je parie que vos parents seraient très fiers de vous voir vous occuper de la maison comme ça.,"Ich wette, deine Eltern wären so stolz, wenn sie sehen würden, wie du dich so um das Haus kümmerst.",Seguro que tus padres estarían orgullosos de verte cuidar de la casa así.,Scommetto che i tuoi genitori sarebbero così orgogliosi nel vederti prenderti cura della casa in questo modo.
dialogs/0room/pedestal_2,"I like to think so. Living here makes me feel close to them, even if they are gone.","Мне нравится так думать. Жизнь здесь заставляет меня чувствовать себя близко к ним, даже если они ушли.","J’aime à le penser. Vivre ici me fait me donne l’impression d’être plus proche d’eux, même s’ils sont partis.","Das glaube ich auch. Wenn ich hier lebe, fühle ich mich ihnen nahe, auch wenn sie nicht mehr hier sind.","Me gusta pensar que sí. Vivir aquí me acerca a ellos, aunque ya no estén.","Mi piace pensare che sia così. Vivere qui mi fa sentire vicino a loro, anche se non ci sono più."
dialogs/0room/pedestal_3,That’s exactly why I treat every design like it’s personal. You never know the story behind the room you’re designing.,"Именно поэтому я отношусь к каждому дизайну как к личному. Никогда не знаешь историю за комнатой, которую ты проектируешь.",C’est exactement pour cela que je m’occupe de chaque design comme si c’était personnel. On ne sait jamais l’histoire derrière la pièce que l’on aménage.,"Das ist genau der Grund, weswegen ich jedes Design so behandle, als wäre es etwas ganz Persönliches. Man weiß nie, welche Geschichte hinter dem Raum steckt, den man gestaltet.",Por eso trato cada proyecto como si fuera para mí. Nunca sabes qué historia hay detrás de cada uno.,Questo è esattamente il motivo per cui curo ogni design come se fosse una cosa personale. Non si può mai sapere la storia che si cela dietro la stanza che si sta progettando.
dialogs/0room/pedestal_4,There are a lot of stories in this room. That’s for sure.,В этой комнате много историй. Это точно.,"Cette pièce recèle beaucoup d’histoires. Ça, c’est sûr.",Es gibt eine Menge Geschichten in diesem Raum. Das steht fest.,Hay muchas historias en esta habitación. Seguro.,Ci sono molte storie dentro questa stanza. Questo è certo.
dialogs/0room/carpet_1,You’ll have to forgive me if I end up tramping dirt all over this carpet. I’m an outdoorsy gal.,"Вы должны простить меня, если я натоптала грязи на этом ковре. Я девчонка с улицы.",Vous devrez me pardonner si je finis par salir ce tapis. Je suis une fille du plein air.,"Du musst mir verzeihen, wenn ich am Ende den ganzen Teppich mit meinen Schuhe verdrecke. Ich bin ein Naturmensch.",Tendréis que perdonarme si acabo ensuciando esta alfombra. Soy una chica de exterior.,Mi devi perdonare se finisco per camminare e sporcare questo tappeto. Sono una ragazza che ama l'aria aperta.
dialogs/0room/carpet_2,"As long as you like it, I’m happy. You could throw mud all over it if that’s what makes you happy.","Пока вам нравится, я счастлива. Вы можете бросать в него грязь, если это делает вас счастливыми.","Tant que vous l’aimez, je suis content. Vous pourriez jeter de la boue partout si c’est ce qui vous rend heureuse.","Solange es dir gefällt, bin ich zufrieden. Du kannst alles mit Schlamm bewerfen, wenn dich das glücklich macht.","Mientras te guste, yo feliz. Puedes cubrirla de barro si eso te hace feliz.","Finché ti piace, sono felice. Puoi gettarci sopra del fango se questo ti rende felice."
dialogs/0room/carpet_3,Oooh! I knew an artist who painted using mud!,"Ооо! Я знала художника, который рисовал, используя грязь!",Oooh! Je connaissais un artiste qui peignait avec de la boue!,"Oooh! Ich kannte einen Künstler, der mit Schlamm malte!",¡Ay! ¡Conocí a un artista que pintaba con barro!,Oooh! Conoscevo un artista che dipingeva con il fango!
dialogs/0room/armchairs_1,This is really taking me back to us kids sitting around dad as he told stories from his chair.,"Это действительно возвращает меня к нам, детям, сидящим рядом с отцом, когда он рассказывает истории сидя на стуле.","Cela me rappelle quand, enfants, nous nous asseyions autour de papa qui, assis dans sa chaise, nous racontait des histoires.","Das bringt mich wirklich zurück zu der Zeit, als wir Kinder um Papa herum saßen, während er von seinem Stuhl aus Geschichten erzählte.",Esto me recuerda a cuando éramos niños y nos sentábamos alrededor de mi padre mientras contaba historias sentado en su silla.,Questo mi riporta davvero a noi bambini seduti intorno a papà mentre raccontava storie seduto sulla sua sedia.
dialogs/0room/armchairs_2,That’s so sweet. He must have been an amazing storyteller.,"Это так мило. Должно быть, он был удивительным рассказчиком.",C’est si adorable. Il devait être un incroyable conteur.,Das ist so süß. Er muss ein erstaunlicher Geschichtenerzähler gewesen sein.,Qué bonito. Seguro que fue un narrador increíble.,Che cosa dolce. Deve essere stato un formidabile narratore.
dialogs/0room/armchairs_3,"Not at all. His stories were so bad. We spent most of the time laughing at him, but that’s what made it so memorable.","Вовсе нет. Его истории были такими плохими. Мы проводили большую часть времени, смеясь над ним, но именно это сделало его таким запоминающимся.","Pas du tout. Ses histoires étaient vraiment mauvaises. Nous passions la plupart du temps à nous moquer de lui, mais c’est ce qui rendait ces moments si mémorables.","Überhaupt nicht. Seine Geschichten waren so schlecht. Wir haben die meiste Zeit damit verbracht, über ihn zu lachen, aber genau das hat es so unvergesslich gemacht.","Para nada. Sus historias eran horribles. La mayoría del tiempo nos reíamos de él, pero eso es lo que lo hace tan memorable.","Niente affatto. Le sue storie erano così brutte. Abbiamo passato la maggior parte del tempo a ridere di lui, ma è questo che lo ha reso così indimenticabile."
dialogs/0room/lamp_1,"At first I was sad about seeing my family home change into something new, but now it’s feeling exciting.","Сначала мне было грустно видеть, как мой семейный дом превращается во что-то новое, но теперь это выглядит захватывающе.","Au début, j’étais triste de voir ma maison familiale se transformer en quelque chose de nouveau, mais maintenant, c’est excitant.","Zuerst war ich traurig darüber, dass sich mein Elternhaus in etwas Neues verwandelt, aber jetzt ist es ein aufregendes Gefühl.","Al principio me apenaba ver mi casa familiar convertida en algo nuevo, pero ahora estoy emocionada.","All'inizio ero triste nel vedere la mia casa di famiglia trasformarsi in qualcosa di nuovo, ma ora sono entusiasta."
dialogs/0room/lamp_2,That’s the spirit. Hopefully our designing is helping you feel that way?,"Это дух. Надеюсь, наш дизайн поможет тебе почувствовать его?",C’est le bon état d’esprit. Espérons que notre aménagement vous aidera à ressentir cela.,"Das ist die richtige Einstellung. Hoffentlich hilft unser Design dabei, dich so zu fühlen?",Ese es el espíritu. Espero que nuestro diseño esté ayudando.,Questo è lo spirito giusto. Forse il nostro progetto ti sta aiutando a sentirti così?
dialogs/0room/lamp_3,"Are you fishing for compliments, Mr. Angel?","Вы хотите комплиментов, мисис Ангел?","Cherchez-vous des compliments, M. Angel?",Fischst du gerade nach Komplimenten?,"¿Quiere que le cubra de cumplidos, Sr. Angel?","Sei a caccia di complimenti, Signor Angelo?"
dialogs/0room/lamp_4,"All I’m saying is if you’d want to give me one, I’d take it.","Все, что я хочу сказать, это то, что если ты захочешь дать мне его, я возьму.","Tout ce que je dis, c’est que si vous voulez m’en donner un, je l’accepterais volontiers.","Ich sage ja nur, dass wenn du mir eins geben willst, würde ich es annehmen.","Yo solo digo que si te nace, los acepto.","Dico solo che se tu volessi farmene uno, lo accetterei"
dialogs/0room/sofas_1,This is where you can find me after a long day of skiing.,Здесь ты можешь найти меня после долгого дня катания на лыжах.,C’est là que vous avez le plus de chances de me trouver après une longue journée de ski.,Hier kann man mich nach einem langen Skitag finden.,Aquí me podréis encontrar después de un largo día esquiando.,Ecco dove puoi trovarmi dopo una lunga giornata passata a sciare.
dialogs/0room/sofas_2,Skiing sounds like so much fun! Maybe I should come and visit you so we can hit the slopes.,"Катание на лыжах звучит так весело! Может, мне стоит навестить тебя, чтобы мы могли вместе покататься на лыжах.",Le ski semble tellement amusant! Peut-être devrais-je vous rendre visite pour que nous puissions dévaler les pentes ensemble.,"Skifahren klingt nach so viel Spaß! Vielleicht sollte ich dich besuchen kommen, damit wir auf die Piste gehen können.",¡Esquiar suena tan divertido! Debería visitarte y bajar por esas pistas.,Sciare sembra così divertente! Forse dovrei venire a trovarti in modo da poter andare a sciare.
dialogs/0room/sofas_3,"I skii for fun sometimes too, but I’m talking about cross-country skiing. It’s the only way to get around here when it snows.","Иногда я тоже катаюсь на лыжах для развлечения, но я говорю о беговых лыжах. Это единственный способ передвигаться здесь, когда идет снег.","Je skie parfois aussi pour le plaisir, mais je parle de ski de fond. C’est le seul mode de déplacement ici quand il neige.","Ich fahre auch manchmal zum Spaß Ski, aber ich spreche von Skilanglauf. Das ist die einzige Möglichkeit, sich hier fortzubewegen, wenn es schneit.","También esquío para divertirme, pero yo hablaba más del esquí de fondo. Es la única manera para poder moverte cuando nieva.","Anch'io scio per divertimento a volte, ma sto parlando di sci di fondo. È l'unico modo per andare in giro qui quando nevica."
dialogs/0room/sofas_4,"In that case, maybe I’ll just visit for hot cocoa by the fire.","В таком случае, может быть, я просто приду за горячим какао у огня.","Dans ce cas, peut-être viendrais-je juste pour une tasse de chocolat chaud au coin du feu.",In dem Fall werde ich vielleicht lieber einfach auf einen heißen Kakao am Feuer vorbeischauen.,"En ese caso, mejor visito para tomarnos un chocolate caliente en la chimenea.",Allora forse verrò a trovarti per una cioccolata calda accanto al fuoco.
dialogs/0room/curtains_1,"Privacy isn’t such a problem here, but I always say that curtains are about more than privacy. They help a house become a home.","Конфиденциальность здесь не такая уж и проблема, но я всегда говорю, что занавески - это нечто большее, чем просто уединение. Они помогают дому стать домом.","Il n’y a pas de problème d’intimité ici, mais je dis toujours que les rideaux sont plus qu’une question d’intimité. Ils transforment les maisons en foyers.","Privatsphäre ist hier nicht wirklich ein Problem, aber ich sage immer, dass es bei Vorhängen um mehr geht als um Privatsphäre. Sie helfen dabei, aus einem Haus ein Zuhause zu machen.","Aquí no hay problemas con la privacidad, pero siempre digo que las cortinas son algo más que eso. Hacen que la casa sea un hogar.","La privacy non è un problema qui, ma io dico sempre che le tende sono più della privacy. Trasformano un'abitazione in una casa."
dialogs/0room/curtains_2,Danny always has words of wisdom like that. I was writing them down for a while.,У Дэнни всегда есть мудрые слова. Я записывала их некоторое время.,Danny a toujours des paroles pleines de sagesse. Je les écrivais pendant un moment.,Danny hat immer so weise Worte. Ich habe sie eine Zeit lang immer aufgeschrieben.,Danny siempre tiene palabras de sabio. A veces las escribía.,Le perle di saggezza di Danny. Le ho scritte per un po'.
dialogs/0room/curtains_3,Why’d you stop?,Почему вы остановились?,Pourquoi avez-vous arrêté?,Warum hast du damit aufgehört?,¿Por qué paraste?,Perché hai smesso?
dialogs/0room/curtains_4,"My handwriting is so bad that we couldn’t read it, and Danny couldn’t remember any of his pearls of wisdom.","Мой почерк настолько плох, что мы не могли его разобрать, а Дэнни не могла вспомнить ни одной из своих жемчужин мудрости.","Mon écriture est si mauvaise que nous ne pouvions pas la lire, et Danny ne se souvenait d’aucune de ses perles.","Meine Handschrift ist so schlecht, dass wir sie nicht lesen konnten, und Danny konnte sich an keine seiner Perlen der Weisheit erinnern.","Mi letra es horrible y no podíamos leerla. Además, Danny no se acordaba de ninguna.",La mia calligrafia è così brutta che non si riusciva a leggere e Danny non riusciva a ricordare nessuna delle sue perle di saggezza.
dialogs/0room/curtains_5,What can I say? They come naturally.,Что я могу сказать? Они приходят сами по себе.,Que puis-je dire? Ça me vient naturellement.,Was soll ich sagen? Die kommen von ganz alleine.,¿Y qué le voy a hacer? Es algo natural.,Che dire? Vengono naturalmente.
dialogs/0room/table_1,I always love to see what coffee table books people keep on their tables. It’s like a peek into their soul.,"Мне всегда нравилось смотреть, какие книги люди держат на своих кофейных столиках. Это как заглянуть в их душу.",J’aime toujours voir quels livres les gens mettent sur leurs tables basses. C’est comme jeter un œil à leur âme.,"Ich liebe es immer zu sehen, welche Bücher die Leute auf ihren Tischen haben. Es ist wie ein Blick in ihre Seele.",Me encanta saber qué libros tiene la gente en sus mesas de café. Es como mirar a su alma.,Mi piace sempre vedere quali libri illustrati la gente tiene sui propri tavoli. È come dare una sbirciatina alla loro anima.
dialogs/0room/table_2,It’s all nature maps and nature photography for me.,Для меня это все карты и фотографии природы.,"Pour moi, il n’y a que des cartes et des photos de la nature.",Bei mir dreht sich alles um Naturkarten und Naturfotografie.,Lo mío son todo mapas y fotografías de naturaleza.,Per me sono tutte mappe e fotografie della natura.
dialogs/0room/table_3,Are you kidding me? You’re living IN nature photography.,Вы шутите? Вы живешь на фотографии природы.,"Vous plaisantez, j’espère? Vous vivez DANS une photographie de nature.",Machst du Witze? Du lebst IN der Naturfotografie.,¿Estás de broma? Vives dentro de una foto de naturaleza.,Stai scherzando? Stai vivendo NELLA fotografia della natura.
dialogs/0room/pictures_1,This is bringing back so many memories of my father. It’s like you captured his essence somehow.,Это возвращает столько воспоминаний о моем отце. Как будто ты как-то овладела его душой.,Cela me rappelle tant de souvenirs de mon père. C’est comme si vous aviez capturé son essence d’une manière ou d’une autre.,"Das bringt so viele Erinnerungen an meinen Vater zurück. Es ist, als hättet ihr sein Geist irgendwie eingefangen.",Esto me recuerda tanto a mi padre. Es como si le hubierais conocido.,Questo mi fa tornare in mente tanti ricordi di mio padre. È come se in qualche modo avessi catturato la sua essenza.
dialogs/0room/pictures_2,I might have done a bit of research about him to help. I wouldn't want you to lose the soul of the house.,"Я могла бы провести небольшое расследование о нем, чтобы помочь. Не хочу, чтобы ты потеряла душу дома.",Il se pourrait que j’aie fait quelques recherches sur lui pour nous aider. Je ne voudrais pas que vous perdiez l’âme de la maison.,"Ich habe eventuell ein bisschen über ihn recherchiert, um damit zu helfen. Ich würde nicht wollen, dass du die Seele des Hauses verlierst.",Puede que le haya buscado para ayudarme. No quería que la casa perdiera su esencia.,Potrei fare un po' di ricerche su di lui per essere d'aiuto. Non vorrei che perdessi lo spirito della casa.
dialogs/0room/pictures_3,You have officially earned yourself that compliment you were fishing for earlier. You are amazing!,"Ты заработала себе этот комплимент, на который раньше охотилась. Ты потрясающая!",Vous avez officiellement mérité ce compliment que vous recherchiez plus tôt. Vous êtes incroyable!,"Du hast dir offiziell das Kompliment verdient, nach dem du vorhin gefischt hast. Du bist unglaublich!",Te has ganado ese cumplido que tanto querías antes. ¡Eres increíble!,Ti sei ufficialmente guadagnato quel complimento che stavi aspettando prima. Sei fantastico!
dialogs/1room/start_1,"Wow, this is one big bathroom. I’ve been to day spas that are smaller than this.","Вау, это большая ванная. Я бывал в спа-салонах меньшего размера.","Waouh, voilà une grande salle de bain. J’ai déjà vu des spas de jour plus petits que ça.","Wow, das ist ein großes Badezimmer. Ich war schon in Spas, die kleiner sind als das hier.","¡Uf, pero vaya baño! He ido a spas más pequeños que este baño...","Uau, che bagno spazioso Sono stato in delle spa che erano molto più piccole."
dialogs/1room/start_2,I’ve been to smaller apartments than this! Like my own.,"Я бывал в меньших квартирах, чем эта! К примеру моя.",J’ai déjà vu des appartements plus petits que celui-ci! Comme le mien.,Ich war schon in Wohnungen die kleiner sind als das Badezimmer! Meine eigene zum Beispiel.,"¡Y también a apartamentos más pequeños! Vamos, el mío, por ejemplo.","E io ho visto appartamenti molto più piccoli! Il mio, per esempio."
dialogs/1room/start_3,The bathroom is my happy place. I’m on the road so much with Debbie King that I’m always using hotel bathrooms.,"Ванная - мое счастливое место. Я так много разъезжаю с Дебби Кинг, что всегда пользуюсь гостиничными ванными комнатами.",La salle de bain est mon endroit préféré. Je me déplace tellement avec Debbie King que j’utilise toujours les toilettes des hôtels.,"Das Badezimmer ist meine Wohl­fühl­oa­se. Ich bin so viel mit Debbie King auf Tournee, wo ich immer die Hotelbadezimmer benutzen muss.",Este baño es mi lugar feliz. Pasamos tanto tiempo de un lado para otro con Debbie King que casi me conozco todos los cuartos de baño de los hoteles.,Il bagno è il mio posto felice. Visto che sono sempre in viaggio con Debbie King non faccio altro che usare i bagni degli hotel.
dialogs/1room/start_4,"As in the famous singer, Debbie King? She’s like the queen diva. I have so many questions.",Как в известной певице Дебби Кинг? Она как королева-дива. У меня так много вопросов.,Voulez-vous parler de la célèbre chanteuse Debbie King? C’est la reine diva. J’ai tellement de questions.,Die berühmte Sängerin Debbie King? Sie ist so etwas wie die Diva-Königin. Ich habe so viele Fragen.,"¿Cómo que Debbie King? ¿La cantante? ¿La diva entre las divas? Espera, espera, tengo como, un millón de preguntas.","La famosa cantante, Debbie King? È una vera diva. Ho così tante domande da farti."
dialogs/1room/start_5,"We aren’t here to ask a million questions about Debbie King. If Brandon wants to get us autographs, that’s his decision.","Мы здесь не для того, чтобы задавать миллион вопросов о Дебби Кинг. Если Брэндон хочет дать нам автографы, это его решение.","Nous ne sommes pas ici pour poser un million de questions sur Debbie King. Si Brandon veut nous obtenir des autographes, ce sera à lui de décider.","Wir sind nicht hier, um eine Million Fragen über Debbie King zu stellen. Wenn Brandon uns Autogramme besorgen möchte, ist das ganz seine Entscheidung.","Pero no estamos aquí para hacer preguntas sobre Debbie King. Si Brandon quiere darnos un montón de autógrafos, es cosa suya.","Non siamo qui per tormentarlo con domande su Debbie King. Se poi Brandon vuole farci avere degli autografi, è una sua decisione."
dialogs/1room/start_6,"That sounds an awful lot like you’re asking, but heck, if you do a good job like I know you will, sure.","Это очень звучит как будто вы просите, но, черт возьми, если вы сделаете хорошо справитесь, а вы справитесь,то без проблем.","Vous nous en demandez vraiment beaucoup, mais bon, si vous travaillez aussi bien que d’habitude, pourquoi pas.","Das hört sich sehr nach einer Bitte an, aber was solls, wenn ihr einen guten Job macht, worum ich mir bei euch keine Sorgen machen muss, sicher.","Dicho así... Parece que es justo lo que quieres... Pero bueno, si sale un buen trabajo de aquí, sí, claro, no lo dudéis.","Ehi, state chiedendo parecchio, ma accidenti, se farete un buon lavoro come credo, nessun problema."
dialogs/1room/end_1,You two have made me feel like the star of the show today. I think you’ve earned some signed posters.,"Вы двое заставили меня почувствовать себя звездой сегодняшнего шоу. Я думаю, вы заработали несколько плакатов с автографами.",Vous deux m’avez donné le sentiment d’être la vedette aujourd’hui. Je pense que vous avez mérité des affiches signées.,"Ihr zwei habt mir heute das Gefühl gegeben, der Star der Show zu sein. Ich glaube, ihr habt euch ein paar signierte Poster verdient.","Vaya, habéis conseguido que me sienta como la estrella del espectáculo. Creo que os habéis ganado un par de pósters firmados.",Oggi voi due mi avete fatto sentire come la stella dello spettacolo. Vi siete guadagnati dei poster autografati.
dialogs/1room/end_2,"Not to be a complainer, but you’re signing those yourself.","Не хочу быть занудой, но вы сами подписываете их.","Je ne m’en plains pas, mais vous les signez vous-même.","Ich will mich nicht beschweren, aber du unterschreibst die ja selbst.","No es que yo quiera quejarme por todo, pero... ¡Que los has firmado tú!","Non per fare la guastafeste, ma li stai firmando tu."
dialogs/1room/end_3,Who do you think signs all of Debbie King’s merch?,"Как вы думаете, кто подписывает все товары Дебби Кинг?","Selon vous, qui signe tous les produits dérivés de Debbie King?","Wer, glaubst du, signiert die ganzen Merch-Artikel von Debbie King?",¿Y quién crees que firma todo el merchandising de Debbie King?,E chi credi che firmi il merchandising di Debbie King?
dialogs/1room/end_4,I think we may have gotten too close of a look inside the world of a diva.,"Я думаю, что мы, возможно, слишком близко заглянули в мир дивы.",Je pense que nous nous sommes peut-être trop rapprochés du monde des divas.,"Ich glaube, wir haben eventuell einen zu nahen Einblick in die Welt einer Diva bekommen.",Creo que es algo que no sé si quería saber.,Mi sa che oggi abbiamo conosciuto un lato nascosto del mondo delle dive.
dialogs/1room/end_5,"Not as glamorous as you thought, is it?","Не так гламурно, как вы думали, не так ли?","Pas aussi glamour que vous le pensiez, n’est-ce pas?","Nicht so glamourös, wie ihr dachtet, oder?","¿No es tan glamuroso como te esperabas, verdad?","Non è affascinate come credevate, eh?"
dialogs/1room/floor_1,You have no idea how sick I am of walking on scummy hotel floors.,"Вы даже не представляете, как меня тошнит от того, что я хожу по грязным этажам отелей.",Vous n’avez pas idée à quel point j’en ai marre de marcher sur des planchers d’hôtel sordides.,"Ihr könnt euch gar nicht vorstellen, wie satt ich es habe, auf schäbigen Hotelböden rumzulaufen.",No tenéis ni idea de lo cansado que estoy de ir de hotel de mala muerte en hotel de mala muerte.,Non avete idea di quanto sia stufo di camminare su mediocri pavimenti di hotel.
dialogs/1room/floor_2,I assumed the hotels Debbie King stays at are pretty nice.,"Я предпологаю, что отели, в которых останавливается Дебби Кинг, довольно хороши.",Je me disais que Debbie King séjournait dans de bons hôtels.,"Ich habe angenommen, dass die Hotels, in denen Debbie King ihre Nächte verbringt, ziemlich nett sind.",Siempre había imaginado que Debbie King se quedaría en los mejores hoteles de la ciudad.,Credevo che gli hotel in cui Debbie King soggiorna fossero piuttosto belli.
dialogs/1room/floor_3,"Girl, I’m her assistant. I don’t stay at the same hotel as her.","Детка, я ее помощник. Я не останавливаюсь в одном отеле с ней.","Jeune fille, je suis son assistant. Je ne séjourne pas dans le même hôtel qu’elle.","Ich bin ihre Assistentin, Mädel. Ich bin meistens nicht in demselben Hotel wie sie.","Ella sí, pero yo soy su asistente. Para nada me quedo en el mismo hotel que ella.","Ragazza, sono il suo assistente, non sto nei suoi stessi hotel."
dialogs/1room/walls_1,"Bathrooms are defined by their walls, not the sink or even the tub. The walls set the mood.","Ванные комнаты отличаются стенами, а не раковиной или даже ванной. Стены задают настроение.","Le style des salles de bain est défini par leurs murs, pas par l’évier ni même par la baignoire. Les murs créent l’ambiance.","Badezimmer werden durch ihre Wände definiert, nicht durch das Waschbecken oder gar die Badewanne. Die Wände geben die Atmosphäre vor.","Aunque no lo parezca, lo que define a un cuarto de baño son las paredes, no el lavamanos ni la bañera. Las paredes son la clave del diseño.","I bagni si giudicano delle pareti, non dal lavandino né dalla vasca. Le pareti dettano l'umore."
dialogs/1room/walls_2,I can’t argue with that. They’re setting my mood right now. It’s the mood for a bath.,Я не могу с этим поспорить. Они прямо сейчас задают мне настроение. Это настроение для ванны.,Je ne peux pas contester cela. Ils définissent mon humeur en ce moment. Et je suis d’humeur à prendre un bain.,Dem kann ich nicht widersprechen. Sie setzen mich gerade in Atmosphäre. Es ist die richtige Atmosphäre für ein Bad.,No te falta razón. Porque ahora mismo la clave va a ser meterme en la bañera. Vaya día que he tenido.,Non posso che essere d'accordo. E lo stanno facendo proprio ora. L'umore per un bel bagno caldo.
dialogs/1room/walls_3,Let us finish before you start stripping down.,"Дайте нам закончить, прежде чем ты начнешь раздеваться.",Laissez-nous finir avant de commencer à vous déshabiller.,"Lass uns fertig werden, bevor du anfängst dich nackig zu machen.","¡Bueno, bueno, deja que terminemos antes de meterte en la bañera!",Dacci il tempo di finire prima di spogliarti.
dialogs/1room/ceiling_1,"I don’t know how you do it, Brandon. Working a job where you travel all the time.","Я не знаю, как ты это делаешь, Брэндон. Работа, из-за которой ты все время путешествуешь.","Je ne sais pas comment vous faites, Brandon. Faire un travail pour lequel on est obligé de voyager tout le temps.","Ich weiß nicht, wie du das machst, Brandon. Einen Job zu haben, bei dem man ständig unterwegs ist.","Ay, Brandon, no sé cómo lo haces. Trabajar siempre te aquí para allá, sin un sitio fijo al que volver.","Non so come ci riesci, Brandon. Lavorare stando sempre in viaggio."
dialogs/1room/ceiling_2,That’s exactly what we do.,"Это именно то, что мы делаем.",C’est exactement ce que nous faisons.,Genau das sind wir auch.,¡Pero si es justo lo que hacemos nosotros!,Ma è anche quello che facciamo noi.
dialogs/1room/ceiling_3,"Oh, yeah. How come it doesn’t sound as cool as what Brandon does?","Ах, да. Почему это звучит не так круто, как то, что делает Брэндон ?,","Oh, oui. Comment se fait-il que cela n’ait pas l’air aussi cool que quand Brandon le dit?","Oh, ja. Warum klingt es nicht so cool wie das, was Brandon macht?","Ay, pues sí. ¿Pero por qué lo que hace Brandon suena mucho más guay que lo que hacemos nosotros?",Eh già. Com'è che non è bello come quando lo dice Brandon?
dialogs/1room/window1_1,Have you ever noticed that the bathroom is the only room you don’t mind there not being any windows?,"Вы когда-нибудь замечали, что ванная комната - единственная комната, в которой вы не против отсутствия окон?",Avez-vous déjà remarqué que la salle de bain est la seule pièce dans laquelle l’absence de fenêtre ne vous dérange pas?,"Ist euch schon einmal aufgefallen, dass das Badezimmer der einzige Raum ist, in dem es einen nicht stört, dass es keine Fenster gibt?",¿Alguna vez te has dado cuenta de que el baño es la única habitación donde no te importa no tener ninguna ventana?,Avete mai notato che il bagno è l'unica stanza in cui non vi interessa se ci sono delle finestre?
dialogs/1room/window1_2,That reminds me of windowless hotel bathrooms. That’s why I wanted a BIG window for my personal bathroom paradise.,"Это напоминает мне гостиничные ванные без окон. Вот почему я хотел БОЛЬШОЕ окно для моего личного рая в ванной.,",Cela me rappelle les salles de bains d’hôtel sans fenêtre. C’est pourquoi je voulais une GRANDE fenêtre pour ma de salle de bain paradisiaque personnelle.,Das erinnert mich an fensterlose Hotelbadezimmer. Deshalb wollte ich ein GROSSES Fenster für mein persönliches Badezimmerparadies.,Eso me recuerda a los baños claustrofóbicos de los hoteles. Por eso quiero una ventana E-NOR-ME en mi baño-paraíso personal.,Mi hai fatto tornare in mente quei bagni senza finestre degli hotel. Ecco perché voglio una grande finestra per il mio paradiso personale.
dialogs/1room/window1_3,Good thing you don’t have any neighbors close by!,"Хорошо, что поблизости нет соседей !,","Heureusement, vous n’avez pas de voisins immédiats!",Zum Glück hast du keine Nachbarn um dich herum!,¡Menos mal que no tienes vecinos cerca!,Meno male non hai vicini!
dialogs/1room/window2_1,I just adore natural light. It literally AND figuratively brightens up my day.,"Я просто обожаю естественный свет. Это буквально И в переносном смысле скрашивает мой день.,",J’adore la lumière naturelle. Cela illumine ma journée au sens propre ET figuré.,Ich liebe einfach natürliches Licht. Es erhellt buchstäblich UND in übertragenem Sinne meinen Tag.,"Es que me encanta la luz natural. Me ilumina el día, en todos los sentidos, vamos.","Adoro la luce naturale. Illumina la mia giornata, letteralmente e metaforicamente parlando."
dialogs/1room/window2_2,"Girl, same, but Debbie King thinks sun is bad for her skin so we usually only venture out at night.","Детка, то же самое, но Дебби Кинг считает, что солнце вредно для ее кожи, поэтому мы обычно выходим на улицу только ночью.","Jeune fille, c’est pareil pour moi, mais Debbie King pense que le soleil est mauvais pour sa peau, alors nous ne sortons généralement que la nuit.","Meinen auch, Mädel, aber Debbie King denkt, dass Sonne schlecht für ihre Haut ist, also wagen wir uns normalerweise nur nachts raus.","Ay, yo igual, pero Debbie King piensa que el sol es malo para la piel, así que prácticamente solo salimos a la calle de noche.","Ragazza, anche a me. Ma Debbie pensa che il sole le faccia male alla pelle e quindi viaggiano solo di notte."
dialogs/1room/window2_3,Are you sure Debbie King isn’t a vampire?,"Вы уверены, что Дебби Кинг не вампир?",Êtes-vous sûr que Debbie King n’est pas une vampire?,"Bist du dir sicher, dass Debbie King kein Vampir ist?",¿Seguro que Debbie no es una vampiresa?,Che sia un vampiro?
dialogs/1room/wall_1,Do you ever tell people you’re part of the band so they’ll give you special treatment?,"Вы когда-нибудь говорили людям, что являетесь частью группы, чтобы они относились к вам по-особенному?",Avez-vous déjà dit à des gens que vous faisiez partie du groupe pour qu’ils vous accordent un traitement spécial?,"Sagst du Leuten manchmal, dass du zur Band gehörst, damit du eine Sonderbehandlung bekommst?",¿Alguna vez te has tirado el pisto diciendo que eres de la banda para que te traten de forma especial?,Dici mai che sei della sua band per ricevere un trattamento speciale?
